Алтайский край;г Барнаул;53.339227,87.792200;Алтайский Край, г. Барнаул, Интернациональная, д. 47;ООО Домострой Барнаул;2223597176;Алтайский Край, г. Барнаул, Интернациональная, д. 47;д. 47;22:63:050133:248;Сергеева Е.С.;855;1;;;SibB
Алтайский край;г Барнаул;53.358843,83.768406;ЖК "Столичный";ООО "Селф";2222022619;г.Барнаул, ул.Профинтерна, д. 30 б;д. 30б;28:46:36;Сергеева Е.С.;850;1;;;SibB
Алтайский край;г Барнаул;53.359686,83.695353;Алтайский Край, г. Барнаул, Антона Петрова, д. 221г\1;ООО Домострой Барнаул;2223597176;Алтайский Край, г. Барнаул, Антона Петрова, д. 221г\1;д. 221г\1;22:63:030105:2884;Сергеева Е.С.;853;1;;;SibB
Архангельская обл;г Котлас;61.234831,46.642335;г.Котлас проспект Мира, квартал 7;ООО Мой дом;2904022932;г.Котлас проспект Мира, квартал 7;Литер 7;29:24:6050102:108;Тиханова Т.С.;1339;1;;;sukokin
Архангельская обл;г Архангельск;64.517793,40.665400;ЖК "Зеленая слобода";ООО СоюзАрхСтрой-Сбыт;2901241647;г.Архангельск, территориальный округ Варавино-Фактория, переулок 1-й Ленинградский, д. 10;д. 10;29:22:07161:87;Тиханова Т.С.;1308;1;;;sukokin
Астраханская обл;г Астрахань;46.325178,48.027788;ЖК "Таманский";ООО ВКРК;3018316138;г. Астрахань, ул. Бретская/пер.1-й Таманский/ул. Автомобильная;д. 28/27/4;30:12:030079:361;Тиханова Т.С.;1388;1;;;Filatova
Астраханская обл;г Астрахань;46.329573,48.033566;ЖК "На бабаевского (м)";ООО Производственно-коммерческая фирма Нижневолжская строительная компания";3006007350;г. Астрахань, Кировский р-н, ул. Аксакова, д.№1 по ГП;д. 1;30:12:000000:7036;Тиханова Т.С.;1349;1;;;Filatova
Астраханская обл;г Астрахань;46.366186,48.084993;Астраханская область г.Астрахань, Ленинский район ул.Маркина;ООО Электроспецмонтаж;3016026102;Астраханская область г.Астрахань, Ленинский район ул.Маркина;;30:12:000000:168;Тиханова Т.С.;1366;1;;;Filatova
Белгородская обл;г Белгород;50.5665,36.5424;Белгородская обл., г.Белгород, Спутник кв-л 4;ООО Белгородстроймонтаж-недвижимость;3123393460;Белгородская обл., г.Белгород, Спутник кв-л 4;позиция 2А;31:16:0000000:558;Тиханова Т.С.;1444;1;;;Romanenko
Белгородская обл;г Белгород;50.560133,36.543663;г.Белгород, XI ЮМР, III ГСК, поз.44 по бульвару Юности 45;ООО Домостроительная компания;3123040930;г.Белгород, XI ЮМР, III ГСК, поз.44 по бульвару Юности 45;позиция 44;31:16:0:139;Тиханова Т.С.;1399;1;;;Romanenko
Белгородская обл;п Дубовое;50.538191,36.581262;ЖК "Микрорайон улитка";ООО ИК Улитка;3123281540;Белгородская обл, п. Дубовое ул. Зеленая, д. 14;д. 14;31:16:1203003:226;Тиханова Т.С.;1434;1;;;Romanenko
Белгородская обл;пгт Северный;50.676004,36.586711;ЖК "Микрорайон северный";ООО Оникс;3123170167;Белгородская обл.,Северный массив 20а, уч.509а, поз.1;позиция 1;31:15:000000:1875;Тиханова Т.С.;1414;1;;;Romanenko
Белгородская обл;г Белгород;50.589572,36.587383;ЖК "Париж";ООО Трансюжстрой-ПГС;3123136631;г.Белгород ул.Харьковская ( 2-я очередь 1-го этапа строительства );2 очередь стр.;31:16:0206006:4;Тиханова Т.С.;1409;1;;;Romanenko
Белгородская обл;г Белгород;50.575849,36.587627;г. Белгород, бульвар 1-го Салюта;ООО Паркинг-М;3123311467;г. Белгород, бульвар 1-го Салюта;;36:16:0220018:651;Тиханова Т.С.;1442;1;;;Romanenko
Белгородская обл;пгт Разумное;50.579683,36.677202;Белгородская обл, Белгородский р-н, п.Разумное , массив 54 , квартал 1, поз.4.,;ООО УК-ЖБК-1;3123080611;Белгородская обл, Белгородский р-н, п.Разумное , массив 54 , квартал 1, поз.4.,;позиция 4;31:15:10020026:1664;Тиханова Т.С.;1406;1;;;Romanenko
Белгородская обл;пгт Разумное;50.574024,36.686558;ЖК "Новая заря";ООО УК-ЖБК-1;3123080611;Белгородская обл, Белгородский р-н, п.Разумное , поз. 2, в квартале 1, массив 54, ЖК Новая Заря;позиция 2;31:15:10020026:1666;Тиханова Т.С.;1405;1;;;Romanenko
Белгородская обл;пгт Разумное;50.574024,36.686558;Белгородская обл, Белгородский р-н, п.Разумное , ул. Вересковая 2, Жилой массив №54 кв.3 поз.2;ООО УК-ЖБК-1;3123080611;Белгородская обл, Белгородский р-н, п.Разумное , ул. Вересковая 2, Жилой массив №54 кв.3 поз.2;позиция 2;31:15:10020026:1406;Тиханова Т.С.;1407;1;;;Romanenko
Белгородская обл;г Губкин;51.282315,37.524318;г. Губкин, Севастопольская, 109;ООО Ремстрой;3127501821;г. Губкин, Севастопольская, 109;секция 1;31:04:0202001:38;Тиханова Т.С.;1446;1;;;Romanenko
Брянская обл;г Брянск;53.2008,34.4395;г.Брянск, Фокинский р-н, пер.Уральский. Д.8;ОАО Комплект;3235001826;г.Брянск, Фокинский р-н, пер.Уральский. Д.8;д.8;33343:04:42;Гурьева КА;1486;1;;;srednerusskiy
Брянская обл;г Брянск;53.2298,34.3249;Брянск, Советский р-он, СО Строитель;ООО Строй-Надежда;3235015191;Брянск, Советский р-он, СО Строитель;поз.1;32:28:0033233:136;Гурьева КА;1499;1;;;srednerusskiy
Брянская обл;г Брянск;53.2390,34.3236;г.Брянск, советский р-н, пр-т станке-димитрова. 64;ОАО Фабрика-кухня;3232007570;г.Брянск, советский р-н, пр-т станке-димитрова. 64;позиция 1;32:28:0032702:6;Тиханова Т.С.;1466;1;;;srednerusskiy
Брянская обл;г Брянск;53.2546,34.3483;Брянская обл., город Брянск, Советский район, улица Советская, 74;ООО УСК Надежда;3255512554;Брянская обл., город Брянск, Советский район, улица Советская, 74;д.74;4667219:01:51;Гурьева КА;1544;1;;;srednerusskiy
Брянская обл;г Брянск;53.2546,34.3483;Брянская обл., город Брянск, Советский район, улица Советская, 76;ООО УСК Надежда;3255512554;Брянская обл., город Брянск, Советский район, улица Советская, 76;д.76;4667219:01:53;Гурьева КА;1545;1;;;srednerusskiy
Брянская обл;г Брянск;53.2546,34.3483;Брянская обл., город Брянск, Советский район, улица Советская, 78;ООО УСК Надежда;3255512554;Брянская обл., город Брянск, Советский район, улица Советская, 78;д.78;4667219:01:52;Гурьева КА;1546;1;;;srednerusskiy
Брянская обл;г Брянск;53.2657,34.3558;Брянская область, г. Брянск, Советский район, улица Дуки, 59, СО Труд уч.9 и уч.11;ООО УСК Надежда;3255512554;Брянская область, г. Брянск, Советский район, улица Дуки, 59, СО «Труд» уч.9 и уч.11;32:28:0021201:44;Гурьева КА;;1540;1;;;srednerusskiy
Брянская обл;г Брянск;53.2671,34.3188;ЖК "Со тюльпан";ООО Светал;3233501238;Брянская обл., г. Брянск,Советский р-н, СО "Тюльпан";;32:2860030406:285;Гурьева КА;1477;1;;;srednerusskiy
Брянская обл;г Брянск;53.2945,34.3128;Брянская обл., г.Брянск, Бежицкий р-н, микрорайон "Московский";ООО Техномикс;3232016510;Брянская обл., г.Брянск, Бажицкий р-н, микрорайон "Московский";32:28:0015501:1501;Гурьева КА;;1475;1;;;srednerusskiy
